name,.metric,.estimator,mean,n,std_err,.config
1,rmse,standard,15.57682609100018,10,0.21552460566757242,Preprocessor1_Model1
1 and 2,rmse,standard,15.854154421336268,10,0.22507031420815402,Preprocessor1_Model1
"1, 2, and 3",rmse,standard,15.984609117131297,10,0.24280021177982258,Preprocessor1_Model1
